;long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
0;144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
1;-66.590149;United States;Puerto Rico;;;18.220833;35417;0;526;0;391;0
2;-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
3;-86.902298;United States;Alabama;;US-AL;32.318231;138259;0;2321;0;41523;0
4;-154.493062;United States;Alaska;;US-AK;63.588753;6251;0;42;0;1192;0
5;-111.093731;United States;Arizona;;US-AZ;34.048928;202899;0;5074;0;27029;0
6;-91.831833;United States;Arkansas;;US-AR;35.20105;62994;0;844;0;45446;0
7;-119.417932;United States;California;;US-CA;36.778261;723504;0;13715;0;247019;0
8;-105.782067;United States;Colorado;;US-CO;39.550051;58521;0;1963;0;20090;0
9;-73.087749;United States;Connecticut;;US-CT;41.603221;53236;0;4471;0;30015;0
10;139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
11;-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
12;-75.52767;United States;Delaware;;US-DE;38.910832;17571;0;607;0;8613;0
13;-77.0369;United States;District of Columbia;;US-DC;38.9072;14077;0;608;0;10416;0
14;-81.515754;United States;Florida;;US-FL;27.664827;633495;0;18873;0;53305;0
15;-82.907123;United States;Georgia;;US-GA;32.157435;275798;0;5805;0;37946;0
16;-155.665857;United States;Hawaii;;US-HI;19.898682;8994;0;75;0;1756;0
17;-114.742041;United States;Idaho;;US-ID;44.068202;33065;0;375;0;10369;0
18;-89.398528;United States;Illinois;;US-IL;40.633125;241629;0;8334;0;146699;0
19;-85.602364;United States;Indiana;;US-IN;40.551217;104274;0;3523;0;59073;0
20;-93.097702;United States;Iowa;;US-IA;41.878003;66483;0;1135;0;39943;0
21;-98.484246;United States;Kansas;;US-KS;39.011902;44953;0;472;0;21063;0
22;-84.270018;United States;Kentucky;;US-KY;37.839333;52707;0;1008;0;9021;0
23;-92.145024;United States;Louisiana;;US-LA;31.244823;150309;0;5006;0;103512;0
24;-69.445469;United States;Maine;;US-ME;45.253783;4575;0;132;0;3604;0
25;-76.641271;United States;Maryland;;US-MD;39.045755;107889;0;3746;0;5986;0
26;-71.382437;United States;Massachusetts;;US-MA;42.407211;137424;0;9191;0;100486;0
27;-85.602364;United States;Michigan;;US-MI;44.314844;114441;0;6794;0;63636;0
28;-94.6859;United States;Minnesota;;US-MN;46.729553;77129;0;1885;0;56659;0
29;-89.398528;United States;Mississippi;;US-MS;32.354668;84372;0;2525;0;49836;0
30;-91.831833;United States;Missouri;;US-MO;37.964253;88170;0;1667;0;9997;0
31;-110.362566;United States;Montana;;US-MT;46.879682;7719;0;109;0;4011;0
32;-99.901813;United States;Nebraska;;US-NE;41.492537;35113;0;412;0;22004;0
33;-116.419389;United States;Nevada;;US-NV;38.80261;69960;0;1346;0;26011;0
34;-71.572395;United States;New Hampshire;;US-NH;43.193852;7314;0;432;0;6218;0
35;-74.405661;United States;New Jersey;;US-NJ;40.058324;198469;0;16044;0;155415;0
36;-105.032363;United States;New Mexico;;US-NM;34.97273;27592;0;795;0;10182;0
37;-74.217933;United States;New York;;US-NY;43.299428;465265;0;33727;0;350527;0
38;-79.0193;United States;North Carolina;;US-NC;35.759573;171218;0;2819;0;116969;0
39;-101.002012;United States;North Dakota;;US-ND;47.551493;12272;0;149;0;7066;0
40;145.75;United States;Northern Mariana Islands;;;15.183333;68;0;4;0;11;0
41;-82.907123;United States;Ohio;;US-OH;40.417287;125797;0;4279;0;84904;0
42;-97.092877;United States;Oklahoma;;US-OK;35.007752;60216;0;823;0;39282;0
43;-120.554201;United States;Oregon;;US-OR;43.804133;27088;0;473;0;4355;0
44;-77.194525;United States;Pennsylvania;;US-PA;41.203322;140578;0;7814;0;95901;0
45;-71.477429;United States;Rhode Island;;US-RI;41.580095;22589;0;2089;0;1953;0
46;-81.163725;United States;South Carolina;;US-SC;33.836081;121683;0;2797;0;42730;0
47;-99.901813;United States;South Dakota;;US-SD;43.969515;14008;0;170;0;8773;0
48;-86.580447;United States;Tennessee;;US-TN;35.517491;161291;0;1985;0;91323;0
49;-99.901813;United States;Texas;;US-TX;31.968599;654104;0;13211;0;383717;0
50;-111.093731;United States;Utah;;US-UT;39.32098;53332;0;421;0;36679;0
51;-72.577841;United States;Vermont;;US-VT;44.558803;1640;0;59;0;1321;0
52;-78.656894;United States;Virginia;;US-VA;37.431573;122381;0;2637;0;13477;0
53;-120.740139;United States;Washington;;US-WA;47.751074;78839;0;2037;0;23404;0
54;-80.454903;United States;West Virginia;;;38.597626;10682;0;233;0;6144;0
55;-88.787868;United States;Wisconsin;;US-WI;43.78444;77810;0;1145;0;54181;0
56;-107.290284;United States;Wyoming;;US-WY;43.075968;3985;0;77;0;2641;0
57;;United States;Veteran Affairs;;;;6692;0;413;0;0;0
58;;United States;US Military;;;;6213;0;26;0;1947;0
59;;United States;Navajo Nation;;;;1540;0;58;0;0;0
60;;United States;Federal Prisons;;;;1047;0;26;0;507;0
61;;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
